,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,PAINS_match,Brenk_match
103,CHEMBL4114985,0.28,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.552841969,583.19550054,8,2,4.660700000000003,True,0,0.0
104,CHEMBL4112426,0.28,nM,Nc1ncc(F)n2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.552841969,553.184935856,7,2,4.652100000000004,True,0,0.0
106,CHEMBL3901061,0.28,nM,Nc1nccn2c([C@H]3CC[C@H]4CNCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.552841969,550.2052567000001,8,3,3.3224000000000027,True,0,0.0
108,CHEMBL4112832,0.29,nM,CC(C)N1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.537602002,592.252206892,8,2,4.443200000000003,True,0,0.0
109,CHEMBL3652660,0.29,nM,Cc1cc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)nn1C,9.537602002,544.234665008,10,3,3.3847200000000006,True,0,0.0
110,CHEMBL3652652,0.29,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(Cl)cn5)n4)c3CO)ncc2c1,9.537602002,561.1691435600001,9,3,4.391200000000003,True,0,0.0
111,CHEMBL5200336,0.3,nM,Cc1cc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c2c1-c1cccc(-n2c(=O)[nH]c3c(F)cccc3c2=O)c1O,9.522878745,552.18089812,6,5,4.459920000000003,True,0,0.0
112,CHEMBL4081452,0.3,nM,Cn1nnnc1[C@H]1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,9.522878745,562.2164900800001,10,2,4.609500000000002,True,0,0.0
114,CHEMBL4215160,0.3,nM,Nc1cc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)nc(Nc2cnn(CC3CC3)c2)n1,9.522878745,537.2288513560001,9,3,4.888800000000003,True,0,0.0
118,CHEMBL5083323,0.3,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3noc(C(C)(C)C)n3)n2)cn1,9.522878745,486.2491722000001,9,2,4.498700000000003,True,0,0.0
119,CHEMBL2057918,0.3,nM,CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1,9.522878745,606.2754671999999,9,2,4.755600000000004,True,0,0.0
120,CHEMBL3945518,0.3,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)[nH]c2cc(F)ccc2c1=O,9.522878745,554.1765616880001,5,4,4.893420000000003,True,0,0.0
