,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
2427,CHEMBL3401266,230.0,nM,Cc1c(NC(=O)c2ccc(N(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,6.638272164,566.264153568,8,2,4.290020000000003,True
2428,CHEMBL3401282,230.0,nM,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccccc2)n1,6.638272164,470.17764707200007,6,2,5.691920000000005,True
2429,CHEMBL3657228,230.0,nM,COc1cccc(-c2cnc(Nc3ccccc3Cl)c(Cl)c2C#N)c1,6.638272164,369.04356739600007,4,1,5.679280000000002,True
2430,CHEMBL3685420,230.0,nM,C=CC(=O)Nc1cccc(-c2nc(Nc3ccc(N4CCOCC4)c(F)c3)nc3n[nH]cc23)c1,6.638272164,459.18190116400007,7,3,3.8637000000000024,True
2431,CHEMBL4063526,231.0,nM,C=CC(=O)Nc1cc(C(=O)N2CCOCC2)ccc1Nc1cc(-c2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C)cn(C)c1=O,6.63638802,647.310769412,7,3,6.251020000000006,False
2432,CHEMBL4873655,232.0,nM,CNC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1C(=O)C[C@@H](Cc1cccc(F)c1)NC(=O)C1CO1,6.634512015,478.20163356399996,4,3,1.8226999999999993,True
2433,CHEMBL3958033,233.0,nM,COC1CCN(C(=O)c2ccc(-c3cc4c(-c5cccc(N6CCOc7cc(C8CC8)ccc7C6=O)c5C)ncnc4[nH]3)cc2)CC1,6.632644079,627.284554664,6,1,6.767920000000007,False
2434,CHEMBL3290129,233.0,nM,Nc1cccc(Nc2ncc(NC(=O)c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)cn2)c1,6.632644079,492.152158508,6,4,5.325800000000003,True
2435,CHEMBL4642453,235.0,nM,C=CC(=O)NCCOc1cc(Cc2cccc(C)c2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.628932138,500.2023825120001,3,3,6.229020000000005,False
2436,CHEMBL4276842,236.6,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,6.62598526,542.2390014400002,11,2,2.107899999999999,False
2437,CHEMBL4248320,237.0,nM,COc1ccc(-c2ccc3oc4ccc(=O)n(-c5ccc(NC(=O)CN(C)C)cc5)c4c3c2)cn1,6.625251654,468.17975524800005,7,1,4.3076000000000025,True
2438,CHEMBL4476482,237.0,nM,COc1ccccc1/C=C/c1nc(Nc2ccc3c(c2)OCO3)c2ccccc2n1,6.625251654,397.142641468,6,1,5.281100000000004,True
2439,CHEMBL4107900,237.4,nM,CCn1nc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)cc1C(F)(F)F,6.624519285,552.220906764,8,2,4.334400000000003,True
2440,CHEMBL3907456,240.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NC(=O)Cc1cc(N)ccc1-2,6.619788758,425.148789468,6,3,3.5073000000000008,True
2441,CHEMBL3657226,240.0,nM,Nc1n[nH]c2nc(-c3cccs3)nc(-c3ccc(Oc4ccccc4)cc3)c12,6.619788758,385.0997311,6,2,5.122900000000003,True
2442,CHEMBL3657230,240.0,nM,Cc1ccccc1Nc1ncc(-c2cccc(OC(C)C)c2)c2c(N)n[nH]c12,6.619788758,373.19026035600007,5,3,5.046320000000003,True
2443,CHEMBL3963114,240.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c3c([nH]c12)CNCC3,6.619788758,373.15387484800004,5,3,2.8663000000000007,True
2444,CHEMBL4564973,240.0,nM,O=C(Nc1cccc([C@@H]2CN(c3ncnc4[nH]ccc34)CCN2CCO)c1)Nc1c(F)cccc1N1CCCC1,6.619788758,544.2710505160001,7,4,4.196800000000003,True
2445,CHEMBL4107443,240.6,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)no4)cc3)c12,6.618704377,525.173622224,8,2,4.1060000000000025,True
2446,CHEMBL4476311,240.8,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCSC(=S)N(CCC)CCC)cc3)ncc2F)c1,6.618343517,568.2090445160001,8,3,6.746300000000005,False
2447,CHEMBL4082268,240.9,nM,Cn1cc(-c2ccnc(N3CCn4c(cc5c4CC(C)(C)C5)C3=O)c2CO)cc(Nc2cccc(N3CCN(C4COC4)CC3)n2)c1=O,6.6181632,650.3329018240001,11,2,3.1857000000000015,False
2448,CHEMBL4103674,244.0,nM,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(N(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCCC(O)C1,6.612610174,648.30601838,8,4,5.144020000000005,False
2449,CHEMBL4210336,245.0,nM,Cn1ccc(Nc2nc(N)cc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)n1,6.610833916,497.19755122799995,9,3,4.015800000000003,True
2450,CHEMBL3967362,245.0,nM,Cc1c(-c2cn(C)c(=O)c(Nc3ccc(C4C(=O)N(C)CCN4C)cc3)n2)cccc1N1Cc2cc(N3CCCCC3)ccc2C1=O,6.610833916,631.3270881720001,8,1,5.0949200000000054,False
2451,CHEMBL4112520,245.4,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)on4)cc3)c12,6.610125442,525.173622224,8,2,4.1060000000000025,True
2452,CHEMBL4128415,248.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(Cc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,6.605548319,646.301601696,11,2,4.397800000000004,False
2453,CHEMBL3657220,250.0,nM,Nc1n[nH]c2c(-c3ccc4[nH]ccc4c3)ncc(-c3ccc(Oc4ccccc4)cc3)c12,6.602059991,417.15896022799996,4,3,6.147700000000004,True
2454,CHEMBL3358407,254.0,nM,Cc1c(-c2cc(Nc3ccc(N4CCN(C)CC4)cn3)c(=O)n(C)c2)cccc1-n1ccc2cc(C3CC3)cc(F)c2c1=O,6.595166283,590.28055258,8,1,5.571720000000006,False
2455,CHEMBL3966597,254.0,nM,Cc1c(-c2ncnc3[nH]c(-c4ccc(CN5CCNC(=O)C5)cc4)cc23)cccc1N1CCc2cc(C3CC3)ccc2C1=O,6.595166283,582.274324328,5,2,5.6124200000000055,False
2456,CHEMBL4111419,254.3,nM,NC(=O)c1nc(N2CCC[C@@H](NC(=O)N3Cc4ccccc4C3)C2)sc1Nc1ccccn1,6.59465364,463.1790440400001,7,3,3.0748000000000006,True
2457,CHEMBL5172976,255.2,nM,Cc1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,6.59311933,514.2117240720002,6,4,6.282420000000005,False
2458,CHEMBL4646367,256.0,nM,C=CC(=O)NCCOc1cc(Cc2cccc(C(F)(F)F)c2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.591760035,554.1741170760001,3,3,6.9394000000000045,False
2459,CHEMBL4450999,258.0,nM,NC(=O)c1sc(-c2cccc(NC(=O)c3ccc(F)cc3)c2)nc1Nc1ccc(N2CCOCC2)cc1,6.588380294,517.1583888480001,7,3,4.880600000000004,True
2460,CHEMBL3657229,260.0,nM,COc1ccc(-c2cnc(Nc3ccccc3C)c3[nH]nc(N)c23)cc1,6.585026652,345.15896022800007,5,3,4.2677200000000015,True
2461,CHEMBL3928597,260.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCCC2c1ccncc1,6.585026652,411.16952491200004,6,2,4.2413000000000025,True
2462,CHEMBL3657231,260.0,nM,Nc1n[nH]c2cc(-c3ccc4ccccc4c3)nc(-c3ccc(Oc4ccccc4)cc3)c12,6.585026652,428.16371125999996,4,2,6.819600000000004,True
2463,CHEMBL3685421,263.0,nM,C=CC(=O)Nc1cccc(-c2nc(Cl)nc3n[nH]cc23)c1,6.580044252,299.05738762,4,2,2.7978000000000005,True
2464,CHEMBL4434679,263.7,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCSC(=S)N4CCN(C(=O)OC(C)(C)C)CC4)cc3)ncc2F)c1,6.57888987,653.225422852,10,3,6.177000000000006,False
2465,CHEMBL4879055,264.0,nM,Cc1c(NC(=O)c2cccnc2)cccc1-c1cc2[nH]cnc2c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,6.578396073,533.2175377240001,7,3,4.796620000000003,True
2466,CHEMBL3787293,265.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(CCOC)c3cnc(Nc4ccc(OC)nc4)nc32)c1,6.576754126,461.1811522160001,10,2,2.5003,True
2467,CHEMBL3652670,267.74,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)cn4)c3CO)ncc2c1,6.572286741,435.170667784,7,2,2.5992000000000006,True
2468,CHEMBL4639665,267.8,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc4c3B(O)OC4)ncc2C(F)(F)F)c1,6.572189427,455.13765446400004,7,4,3.3248000000000006,True
2469,CHEMBL5206619,268.0,nM,C=CC(=O)N(C)CCOc1cncnc1-c1ccc(CN2CCN(C3CCOC3)CC2=O)c(F)c1,6.571865206,483.22818265999996,7,0,1.7389999999999992,True
2470,CHEMBL3401273,270.0,nM,Cc1c(NC(=O)c2cnc(C(C)(C)C)nc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,6.568636236,581.2750525999999,9,2,4.311520000000003,True
2471,CHEMBL3657217,270.0,nM,CS(=O)(=O)Nc1cccc(-c2ncc(-c3ccc(Oc4ccccc4)cc3)c3c(N)n[nH]c23)c1,6.568636236,471.1365105320001,6,3,5.037900000000003,True
2472,CHEMBL4469900,270.0,nM,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1,6.568636236,596.2971850120001,10,3,3.4245,True
2473,CHEMBL4109460,270.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCC[C@@H]2c1cccc(N)c1,6.568636236,425.18517497600004,6,3,4.428500000000002,True
2474,CHEMBL4073371,271.0,nM,CNc1cccc(-c2n[nH]c(NCc3c(F)cccc3Cl)n2)c1,6.567030709,331.10000138000004,4,3,3.918000000000001,True
2475,CHEMBL3982192,272.0,nM,Cc1c(-c2ncnc3[nH]c(C4=CCN(CCO)CC4)cc23)cccc1N1CCOc2cc(C3CC3)ccc2C1=O,6.565431096,535.258339916,6,2,4.931320000000005,True
2476,CHEMBL4109500,272.1,nM,Cc1nnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)s1,6.565271458,488.17429300800006,9,2,3.259120000000001,True
2477,CHEMBL4094515,273.0,nM,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(N5CCOCC5)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1,6.563837353,676.300933,9,3,4.7901200000000035,True
2478,CHEMBL4115483,278.3,nM,CC(C)c1cc(C(F)(F)F)cc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)n1,6.555486794,577.2413078600001,7,2,5.6364000000000045,False
2479,CHEMBL3605106,279.7,nM,COCCCn1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,6.553307534,456.161997008,7,1,6.2378000000000045,True
2480,CHEMBL3358338,280.0,nM,CN(C)c1ccc2c(=O)n(-c3cccc(-c4cc(Nc5ccc(C(=O)N6CCOCC6)cn5)c(=O)n(C)c4)c3CO)ccc2c1,6.552841969,606.259068188,10,2,3.5257000000000023,True
2481,CHEMBL4643339,280.0,nM,Cn1cc(-c2ccnc(N3CCn4c(cc5c4CC(C)(C)C5)C3=O)c2CO)cc(NC(=O)c2cccnc2)c1=O,6.552841969,538.23285344,8,2,3.1736000000000013,True
2482,CHEMBL3657219,280.0,nM,Nc1n[nH]c2c(-c3ccc(O)cc3)ncc(-c3ccc(Oc4ccccc4)cc3)c12,6.552841969,394.142975816,5,3,5.3720000000000026,True
2483,CHEMBL3657221,280.0,nM,CS(=O)(=O)Nc1ccc(-c2ncc(-c3ccc(Oc4ccccc4)cc3)c3c(N)n[nH]c23)cc1,6.552841969,471.1365105320001,6,3,5.037900000000003,True
2484,CHEMBL4209020,280.0,nM,Nc1nc(Nc2ccc(N3CCOCC3)cc2)nc(-c2cccc(-n3ncc4cc(C5CC5)ccc4c3=O)c2CO)n1,6.552841969,562.24408682,11,3,3.769800000000003,False
2485,CHEMBL3657242,280.0,nM,COc1ccc2cc(-c3nc(-c4ccc(C(=O)O)cc4)cc4[nH]nc(N)c34)ccc2c1,6.552841969,410.1378904360001,5,3,4.734100000000002,True
2486,CHEMBL3649449,280.83,nM,CC(C)(C)c1ccc2c(=O)n(-c3cccc(-c4nc(C(N)=O)cs4)c3CO)ncc2c1,6.5515565,434.141261564,7,2,3.3979000000000017,True
2487,CHEMBL4071893,282.0,nM,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc5c(c4)OCO5)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1,6.549750892,635.237998396,9,3,4.682220000000003,True
2488,CHEMBL1916903,283.0,nM,Cc1ccccc1Sc1nc2ccc(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,6.548213564,431.1779814200001,6,0,4.4227200000000035,True
2489,CHEMBL4576295,283.5,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCSC(=S)N4CCN(Cc5ccccc5)CC4)cc3)ncc2F)c1,6.547446937,643.2199435480001,9,3,6.442100000000004,False
2490,CHEMBL4112914,284.9,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)n(C5CCCC5)n4)cc3)c12,6.545307551,592.252206892,8,2,5.429600000000005,False
2491,CHEMBL4593230,286.0,nM,C=CC(=O)N1CCC[C@@H]1COc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2)nc2[nH]cc(-c3cncc(NC)n3)c12,6.543633967,596.297185012,10,3,3.4245,True
2492,CHEMBL4436086,287.0,nM,Oc1cccc(Nc2nc(/C=C/c3cc4c(cc3Br)OCO4)nc3ccccc23)c1,6.542118103,461.03750347199997,6,2,5.740600000000002,True
2493,CHEMBL4640218,287.0,nM,C=CC(=O)NCCOc1cc(Cc2cccc(Cl)c2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.542118103,520.1477600960001,3,3,6.574000000000004,False
2494,CHEMBL4244928,290.0,nM,C=C(C)C(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1C,6.537602002,445.23654185199996,3,4,4.632620000000004,True
2495,CHEMBL3657243,290.0,nM,CC(C)Oc1ccc(-c2nc(-c3ccc(C(=O)O)cc3)cc3[nH]nc(N)c23)cc1,6.537602002,388.1535405000001,5,3,4.3595000000000015,True
2496,CHEMBL3657209,290.0,nM,Cc1cccc(Oc2ccc(-c3cc(C4CCCC4)nc(N)c3C(=N)N)cc2)c1,6.537602002,386.21066145200007,4,3,5.373190000000004,True
2497,CHEMBL4569508,290.0,nM,O=C(NCC(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1,6.537602002,529.1759307320001,7,1,5.2816000000000045,False
2498,CHEMBL3657227,290.0,nM,COc1cccc(-c2cnc(Nc3ccccc3)c3[nH]nc(N)c23)c1,6.537602002,331.14331016400007,5,3,3.9593,True
2499,CHEMBL3400825,290.0,nM,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)NCCNC(=S)Nc3ccc(-c4c5ccc(=O)cc-5oc5cc(O)ccc45)c(C(=O)O)c3)cc2)n1,6.537602002,941.3206824640001,11,7,9.047520000000002,False
2500,CHEMBL4587672,290.0,nM,Nc1ncnc(NCC2CCN(C(=O)C3=CCC3)CC2)c1-c1ccc(Oc2ccccc2)cc1,6.537602002,455.232125168,6,2,4.888800000000004,True
2501,CHEMBL3605110,291.5,nM,CNC(=O)Cn1cc(-c2cnc(N)c3c(-c4cccc(C(=O)Nc5ccccc5)c4)csc23)cn1,6.535361441,482.15249494400007,7,3,4.407300000000003,True
2502,CHEMBL4113960,291.6,nM,COCCN(C(=O)c1ccc(-c2nc([C@@H]3CC[C@H]4CCC(=O)N4C3)n3ccnc(N)c23)c(O)c1)c1cc(C(F)(F)F)ccn1,6.53521248,609.2311371000001,9,2,4.259500000000003,True
2503,CHEMBL4104951,294.0,nM,COCCC(=O)N1CCS(=O)(=O)C(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,6.53165267,617.166822592,10,2,2.9792000000000005,True
