,IDs,IC50,units,smiles,pIC50
49,CHEMBL4752314,0.17,nM,CC(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.769551079
50,CHEMBL3652667,0.17,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(S(C)(=O)=O)cn5)n4)c3CO)ncc2c1,9.769551079
51,CHEMBL4110653,0.17,nM,C[C@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C6CC6)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,9.769551079
52,CHEMBL4113354,0.18,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C5CC5)ccn4)cc3)c12,9.744727495
53,CHEMBL3652668,0.18,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(C#N)cn5)n4)c3CO)ncc2c1,9.744727495
54,CHEMBL3652653,0.18,nM,CC(C)(CN1CCC1)Oc1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)nc1,9.744727495
55,CHEMBL4113263,0.18,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@@H]3N(C2)C(=O)OC3(C)C)n2ccnc(N)c12,9.744727495
56,CHEMBL3962133,0.18,nM,C=CC(=O)N1CCc2c([nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn23)C1,9.744727495
57,CHEMBL4520801,0.18,nM,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc(Cl)cc4)cc3)c(C(N)=O)c2N)C1,9.744727495
58,CHEMBL4798236,0.19,nM,C[C@@H](O)C(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.721246399
59,CHEMBL4114929,0.19,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.721246399
60,CHEMBL3973566,0.19,nM,CN(C)C/C=C/C(=O)N1CCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2C1,9.721246399
61,CHEMBL4109144,0.19,nM,COC(=O)CN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.721246399
62,CHEMBL4107467,0.19,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc5ccccc5cn4)cc3)c12,9.721246399
63,CHEMBL4466205,0.2,nM,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3ccccc32)C1,9.698970004
64,CHEMBL5087011,0.2,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3cn(C(C)(C)C)nn3)n2)cn1,9.698970004
65,CHEMBL4070865,0.2,nM,NC(=O)[C@H]1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,9.698970004
66,CHEMBL4543998,0.2,nM,C#CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,9.698970004
67,CHEMBL4754065,0.2,nM,Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)c1cnc(C(C)(C)C)s1,9.698970004
68,CHEMBL4068131,0.2,nM,Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc1)nc2[C@]12CC[C@](C(=O)O)(CC1)C2,9.698970004
69,CHEMBL4114097,0.2,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@@H]3N(C2)C(=O)CC3(C)C)n2ccnc(N)c12,9.698970004
70,CHEMBL4112223,0.2,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C5CC5)ccn4)cc3F)c12,9.698970004
71,CHEMBL4068919,0.2,nM,C[C@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,9.698970004
72,CHEMBL4782313,0.2,nM,Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CCC(C(C)(C)C)C1,9.698970004
73,CHEMBL4211960,0.2,nM,Nc1cc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)nc(Nc2cnn(CC(F)F)c2)n1,9.698970004
74,CHEMBL4059473,0.2,nM,Nc1nccn2c(C34CCC(C(=O)O)(CC3)CC4)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.698970004
75,CHEMBL4111521,0.21,nM,C[C@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C6CC6)ccn5)cc4F)c4c(N)nccn34)CC[C@@H]12,9.677780705
76,CHEMBL4109557,0.21,nM,N#Cc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)c(F)c2)c1,9.677780705
77,CHEMBL4112274,0.21,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(C(=O)c5ccncc5)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.677780705
78,CHEMBL4112201,0.21,nM,CC(F)(F)c1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)c(F)c2)c1,9.677780705
79,CHEMBL4751655,0.22,nM,C[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CN1C(=O)C1CCCO1,9.657577319
80,CHEMBL3891545,0.22,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)cc2c(Cl)cccn2c1=O,9.657577319
81,CHEMBL3652657,0.22,nM,Cn1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)n1,9.657577319
82,CHEMBL4111121,0.22,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(CC(=O)O)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.657577319
83,CHEMBL5188786,0.22,nM,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1ccc(CN2CCN(CC(C)C)CC2=O)c(C)c1,9.657577319
84,CHEMBL4107715,0.22,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,9.657577319
85,CHEMBL4111645,0.22,nM,Nc1nccn2c([C@@H]3CC[C@H]4CNCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.657577319
86,CHEMBL4060363,0.23,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)OCC4CCCO4)cc3)ncc2Cl)c1,9.638272164
87,CHEMBL4110406,0.23,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)n(C)n2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,9.638272164
88,CHEMBL4111890,0.23,nM,C=CC(=O)Nc1ccccc1[C@H]1CCNc2c(C(N)=O)c(-c3ccc(C)c(OC)c3)nn21,9.638272164
89,CHEMBL4868813,0.23,nM,CC(C)n1cc(-c2nc3c(-c4ccc5c(c4)CCC[C@@H]5NC(=O)c4nc(C(C)(C)C)no4)ccnc3[nH]2)cn1,9.638272164
90,CHEMBL4109377,0.23,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(C(=O)c5ccccc5)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.638272164
91,CHEMBL3652659,0.24,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(F)cn5)n4)c3CO)ncc2c1,9.619788758
92,CHEMBL4112085,0.24,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(OC5CC5)ccn4)cc3)c12,9.619788758
93,CHEMBL3652662,0.24,nM,Cc1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)nc1,9.619788758
94,CHEMBL3910427,0.25,nM,Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)[nH]c2c(F)cc(F)cc2c1=O,9.602059991
95,CHEMBL4763873,0.26,nM,O=C(C#CCN1CCOCC1)Nc1ccc2nccc(Oc3ccc(C(=O)Nc4ccccn4)cc3)c2c1,9.585026652
96,CHEMBL4757041,0.26,nM,CN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)CC[C@H]2C1,9.585026652
